,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
17,Afghanistan (AF),PCI,Cosmetics & Toiletries,Stepan Company,['Synthetic'],"['Antiperspirants & Deodorants', 'Baby Care', 'Hair Care', 'Skin Care', 'Soap & Bath']","['Active', 'Cleanser', 'Emulsifier']",CEDEPAL TD-403 MFLD,25446-78-0,Liquid,,N/A,(MANUAL_INPUT),[],PIM000008142-CEDEPALTD403MFLD TDS.pdf,AAAA,"['Conditioning', 'Moisturizing', 'Nourishing', 'Soothing', 'Strengthening']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
18,Afghanistan (AF),PCI,Cosmetics & Toiletries,"R.L. Chemicals Industries PVT, Ltd.",['Synthetic'],"['Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Active', 'Exfoliant', 'Antioxidant', 'Cleanser', 'Conditioner', 'Preservative Booster', 'Humectant', 'Neutralizing Agent', 'Biocide']",Mandelic acid,17199-29-0,Powder,,"Up to 40% for resurfacing peeling, ~10% for daily uses",(MANUAL_INPUT),[],PIM000009166-Mandelic acid _TDS_DKSH.pdf,AAAA,"['Anti-Aging', 'Anti-Bacterial', 'Brightening', 'Skin Renewal', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
19,Afghanistan (AF),PCI,Cosmetics & Toiletries,RADIANT,"['Synthetic', 'Vegetal']","['Skin Care', 'Hair Care', 'Baby Care']","['Active', 'Conditioner', 'Skin Sensory Additive']",DERMA-CLERA™,N/A,Liquid,,The recommended dosage for DERMA-CLERA™ is 0.1% to 2% as per the product specification.,(MANUAL_INPUT),['China Compliant'],PIM000009670-DERMA-CLERA_Brochure.pdf,AAAA,"['Anti-Inflammatory', 'Anti-Itching', 'Redness Reduction', 'Soothing', 'Strengthening', 'Skin Barrier Function', 'Wound Healing', 'Skin Repair', 'Scalp Protection']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
20,Afghanistan (AF),PCI,Cosmetics & Toiletries,Lipotec,"['Synthetic', 'Biomolecule/Micro-organisms']","['Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Active', 'Conditioner', 'Skin Sensory Additive']",decorinyl functional ingredient,N/A,Suspension,,5%,(MANUAL_INPUT),[],PIM000010137-decorinyl-e-en-128251.pdf,AAAA,"['Anti-Aging', 'Elasticity', 'Firming', 'Skin Barrier Function', 'Skin Renewal', 'Skin Repair', 'Smoothing', 'Strengthening']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
21,Afghanistan (AF),PCI,"Cosmetics & Toiletries, Homecare & Institutional Cleaning",BASF Corporation,['Synthetic'],"['Hair Care', 'Skin Care']","['Emulsifier', 'Neutralizing Agent', 'Stabilizer']",3-Methoxypropylamine,5332-73-0,Liquid,,N/A,(MANUAL_INPUT),[],PIM000041765-BASF 3MPA PS Jul22.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
22,Afghanistan (AF),PCI,Cosmetics & Toiletries,Nouryon,['Vegetal'],"['Skin Care', 'Sun Care', 'Hair Care', 'Color Care']","['Active', 'Conditioner', 'Film Former', 'Rheology Modifier', 'Skin Sensory Additive', 'Texturizer']",Amaze Nordic Barley,N/A,Powder,,"Suggested use levels for Amaze Nordic Barley are provided for various applications: Dry shampoo: 2-5%, Waxes and Pomades: 1-10%, Creams and Emulsions: 2-10%, Color cosmetics: 5-50%.",(MANUAL_INPUT),['COSMOS Standard'],PIM000047800-Amaze Nordic Barley.pdf,AAAA,"['COSMOS Standard', 'Film Forming', 'Moisturizing', 'Natural Cosmetic', 'Nourishing', 'Skin Barrier Function', 'Skin Radiance', 'Skin Renewal', 'Skin Repair', 'Smoothing', 'Soft Focus', 'Soothing', 'Strengthening', 'Texturizer', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
23,Afghanistan (AF),PCI,Cosmetics & Toiletries,JNC Corporation,['Vegetal'],"['Antiperspirants & Deodorants', 'Skin Care', 'Soap & Bath', 'Fragrance', 'Hair Care']","['Active', 'Anti-Deposition', 'Conditioner', 'Dispersing Agent', 'Film Former', 'Skin Sensory Additive', 'Texturizer']",CELLUFLOW C-25,N/A,Bead,,N/A,(MANUAL_INPUT),[],PIM000052694-20170920 TDS Celluflow C-25 and TA-25.pdf,AAAA,"['Conditioning', 'Film Forming', 'Moisturizing', 'Skin Barrier Function', 'Skin Radiance', 'Skin Repair', 'Smoothing', 'Soothing', 'Texturizer']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
24,Afghanistan (AF),PCI,Cosmetics & Toiletries,JNC Corporation,['Derived Natural'],"['Antiperspirants & Deodorants', 'Fabric care', 'Fragrance', 'Skin Care', 'Soap & Bath']","['Active', 'Anti-Deposition', 'Conditioner', 'Dispersing Agent', 'Film Former', 'Rheology Modifier', 'Skin Sensory Additive', 'Solubilizer', 'Stabilizer', 'Texturizer']",CELLUFLOW TA-25,N/A,Bead,,N/A,(MANUAL_INPUT),[],PIM000052694-20170920 TDS Celluflow C-25 and TA-25.pdf,AAAA,"['Conditioning', 'Film Forming', 'Moisturizing', 'Skin Barrier Function', 'Skin Repair', 'Smoothing', 'Soothing', 'Strengthening', 'Texturizer']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
25,Afghanistan (AF),PCI,Cosmetics & Toiletries,Alland & Robert,['Vegetal'],"['Skin Care', 'Hair Care', 'Soap & Bath', 'Fragrance']","['Emulsifier', 'Texturizer', 'Film Former', 'Stabilizer', 'Humectant']",Demecare® Acacia senegal I,9000-01-5,Powder,,N/A,(MANUAL_INPUT),"['Vegan', 'Organic', 'REACH']",PIM000075380-DKSH - Demecare_Acacia-senegal-I.pdf,AAAA,"['Film Forming', 'Vegan', 'Organic', 'Natural Cosmetic']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
26,Afghanistan (AF),PCI,Cosmetics & Toiletries,Alland & Robert,['Vegetal'],"['Skin Care', 'Soap & Bath', 'Hair Care', 'Sun Care', 'Spa & Wellness', 'Fragrance', 'Others']","['Emulsifier', 'Texturizer', 'Film Former', 'Stabilizer', 'Skin Sensory Additive']",DemeCare,N/A,Bead,,N/A,(MANUAL_INPUT),"['COSMOS Standard', 'Organic', 'Vegan']",PIM000075380-DKSH -MAIN BROCHURE Natural Cosmetics 090322BD.pdf,AAAA,"['Anti-Stress', 'Film Forming', 'Moisturizing', 'Natural Cosmetic', 'Organic', 'Smoothing', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
27,Afghanistan (AF),PCI,Cosmetics & Toiletries,"Sanming AF Silicon Materials Co., Ltd.",['Mineral'],['Oral Care'],"['Active', 'Anti-Deposition', 'Conditioner', 'Emulsifier', 'Filler', 'Film Former', 'Humectant', 'Opacifier', 'Preservative', 'Rheology Modifier', 'Skin Sensory Additive', 'Solubilizer', 'Stabilizer', 'Texturizer']",AFSIL® DT 220,7631-86-9,Powder,,N/A,(MANUAL_INPUT),"['COSMOS Standard', 'HALAL', 'Kosher', 'USP']",PIM000076387-TDS - AFSIL DT220.pdf,AAAA,"['COSMOS Standard', 'Conditioning']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
28,Afghanistan (AF),PCI,Cosmetics & Toiletries,Alzo International Inc,['Synthetic'],"['Antiperspirants & Deodorants', 'Fragrance', 'Skin Care', 'Soap & Bath', 'Sun Care']","['Emollient', 'Skin Sensory Additive', 'Solubilizer']",DERMOL DIA,6938-94-9,Liquid,,N/A,(MANUAL_INPUT),[],PIM000076823-Dermol DIA - TDS.pdf,AAAA,"['Conditioning', 'Moisturizing', 'Skin Barrier Function', 'Skin Radiance', 'Skin Repair', 'Smoothing', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
29,Afghanistan (AF),PCI,Homecare & Institutional Cleaning,Honeywell International Inc.,['Synthetic'],['Others'],"['Coating Agent', 'Dispersing Agent', 'Film Former', 'Rheology Modifier', 'Solubilizer', 'Texturizer']",A-C® 629,N/A,Bead,,N/A,(MANUAL_INPUT),['FDA'],PIM000104596-pmt-am-a-c-629-a4-2-2024.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
30,Afghanistan (AF),PCI,Cosmetics & Toiletries,SEQENS,['Synthetic'],"['Antiperspirants & Deodorants', 'Skin Care', 'Soap & Bath']","['Emollient', 'Humectant', 'Preservative Booster', 'AP/Deo Active']",AdvensProtect OE,"1117-86-8, 70445-33-9",Liquid,,N/A,(MANUAL_INPUT),"['HALAL', 'Kosher']",PIM000111586-AdvensProtect OE.pdf,AAAA,"['Anti-Microbial', 'Moisturizing', 'Conditioning', 'Nourishing', 'Skin Barrier Function']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
31,Afghanistan (AF),PCI,Cosmetics & Toiletries,Selco Wirkstoffe Vertriebs GmbH,['Synthetic'],"['Hair Care', 'Skin Care', 'Soap & Bath', 'Spa & Wellness']","['Active', 'Antioxidant', 'Conditioner', 'Humectant', 'Skin Sensory Additive']",Adenosine,58-61-7,Powder,,N/A,(MANUAL_INPUT),[],PIM000116761-ADENOSINE 7370_Leaflet.pdf,AAAA,"['Anti-Inflammatory', 'Anti-Wrinkle', 'Firming', 'Hair Loss Reduction', 'Hair Repair', 'Skin Renewal', 'Skin Repair', 'Soothing', 'Wound Healing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
32,Afghanistan (AF),PCI,,❌ Error: (HTTP 400),,,,❌ Error: (HTTP 400),,,,,(MANUAL_INPUT),,PIM000122478-DKSH - AB-PC-Presentation.pdf,AAAA,,(MANUAL_INPUT),(MANUAL_INPUT),,
33,Afghanistan (AF),PCI,"Cosmetics & Toiletries, Homecare & Institutional Cleaning",LUZI (Malaysia) Sdn Bhd,['Synthetic'],"['Fragrance', 'Antiperspirants & Deodorants', 'Hair Care', 'Skin Care', 'Soap & Bath']","['Fragrance', 'Solvent', 'Preservative']",ALDEHYDE 160768,N/A,Liquid,,N/A,(MANUAL_INPUT),[],PIM000126008-10. ALDEHYDE_160768_FS_EN.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
34,Afghanistan (AF),PCI,Cosmetics & Toiletries,WeylChem ORGANICA GmbH,['Synthetic'],"['Antiperspirants & Deodorants', 'Baby Care', 'Hair Care', 'Skin Care', 'Soap & Bath', 'Sun Care']","['Humectant', 'Emollient', 'Solvent', 'Preservative Booster', 'Conditioner']","1,2-Hexanediol",6920-22-5,Liquid,,N/A,(MANUAL_INPUT),[],"PIM000128888-1,2-Hexanediol-Spec.pdf",AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
35,Afghanistan (AF),PCI,Cosmetics & Toiletries,LUZI (Malaysia) Sdn Bhd,[],"['Air Care', 'Fragrance', 'Soap & Bath', 'Spa & Wellness']",['Fragrance'],AMY 650050-D,N/A,Liquid,,N/A,(MANUAL_INPUT),['REACH'],PIM000140514-SPECIFICATION AMY 650050-D DKSH.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
36,Afghanistan (AF),PCI,Cosmetics & Toiletries,PT SOZIO DESCOLLONGES INDONESIA,"['Synthetic', 'Derived Natural', 'Vegetal']","['Fragrance', 'Soap & Bath', 'Skin Care', 'Hair Care', 'Oral Care']",['Fragrance'],DIJI BLUE INTENSE SOHK068152,N/A,Liquid,,N/A,(MANUAL_INPUT),['REACH'],PIM000144543-SDS DIJI BLUE INTENSE SOHK068152.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
37,Afghanistan (AF),PCI,Cosmetics & Toiletries,ILLUCO POWDER,"['Mineral', 'Synthetic', 'Derived Natural']","['Skin Care', 'Hair Care', 'Soap & Bath', 'Sun Care', 'Spa & Wellness']","['Active', 'Conditioner', 'Film Former', 'Skin Sensory Additive', 'Stabilizer', 'Texturizer']",ADCL-SC-1,N/A,Bead,,N/A,(MANUAL_INPUT),['China Compliant'],PIM000144991-ADCL-SC-1 SPEC.pdf,AAAA,"['Anti-Aging', 'Moisturizing', 'Skin Barrier Function', 'Skin Repair', 'Soothing', 'Firming', 'Elasticity']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
38,Afghanistan (AF),PCI,Cosmetics & Toiletries,Ashland,"['Biomolecule/Micro-organisms', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Active', 'Skin Sensory Additive']",collapeptyl™ biofunctional,N/A,Gel,,N/A,(MANUAL_INPUT),['REACH'],PIM000145110-MSDS_COLLAPEPTYL PL 10L_988267 Vietnam (GHS) - English.pdf,AAAA,"['Anti-Aging', 'Anti-Wrinkle', 'Firming', 'Elasticity', 'Skin Renewal', 'Skin Repair', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
39,Afghanistan (AF),PCI,Cosmetics & Toiletries,Ashland,"['Synthetic', 'Biomolecule/Micro-organisms']","['Skin Care', 'Spa & Wellness', 'Soap & Bath', 'Sun Care']","['Active', 'Conditioner', 'Skin Sensory Additive', 'Texturizer']",Collapeptyl,N/A,Gel,,"Recommended use level is 3 to 5%, clinically tested at 5%.",(MANUAL_INPUT),"['China Compliant', 'REACH']",PIM000145110-PHC25-030_collapeptyl-biofunctional-sell-sheet (1).pdf,AAAA,"['Anti-Aging', 'Anti-Wrinkle', 'Elasticity', 'Firming', 'Moisturizing', 'Skin Radiance', 'Skin Repair', 'Smoothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
40,Afghanistan (AF),PCI,Cosmetics & Toiletries,Ashland,['Synthetic'],['Hair Care'],"['Film Former', 'Fixative', 'Styling Polymer']",advantage™ s solution polymers,N/A,Liquid,,1-5% solids,(MANUAL_INPUT),[],PIM000147595-TDS - Advantage s-solution polymers.pdf,AAAA,"['Conditioning', 'Curl Retention', 'Film Forming', 'Hair Color Protection', 'Hair Radiance', 'Hair Repair', 'Hair Volume', 'Moisturizing', 'Smoothing', 'Soothing', 'Strengthening', 'Texturizer']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
