,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
19,Afghanistan (AF),PHI,Biopharma,DKSH International Performance Materials Ltd.,(MANUAL_INPUT),"['Amino Acid', 'Biochemical & Reagent', 'Biological Buffer & Denaturant', 'Carbohydrate & Sugar', 'Cell Culture Supplement', 'Injectables and Parenterals', 'Lipid', 'Liposomes', 'mRNA Research', 'Nucleosides and Derivatives', 'Peptone & Yeast Extract', 'Recombinant Proteins and Cytokines', 'Solubilizer', 'Synthesis', 'Vaccines']","['Biological Buffers', 'Sugars', 'Fermentation & Cell culture', 'Growth Factors', 'Immune System', 'Recombinant Proteins and Cytokines', 'Vaccine', 'Yeast Extracts']",Biopharmaceutical Ingredients,N/A,Liquid,,N/A,(MANUAL_INPUT),"['DMF', 'GMP', 'Halal', 'Kosher', 'USP/NF']",PIM000121354-Biopharma_Product Portfolio Catalog.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Environmentally Sustainable Pharmaceutical Manufacturing', 'Free from Nitrosamine Impurities', 'Free from Solvents Class 1']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
20,Afghanistan (AF),PHI,Animal Care,Grupo Crimidesa,(MANUAL_INPUT),"['Animal Health', 'Animal Nutrition', 'Mineral & Nutrient']","['Feed Additive', 'Minerals and Nutrients']",Anhydrous Sodium Sulphate Grade: Feed (AL),N/A,Powder,,N/A,(MANUAL_INPUT),['FAMI-QS'],PIM000131266-AL.Rev.09.ENG.pdf,AAAA,['Animal Derived Component Free (ADCF)'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
21,Afghanistan (AF),PHI,Intermediates & Reagents,"AARTI INDUSTRIES LTD., JHAGADIA",(MANUAL_INPUT),"['Biochemical & Reagent', 'Synthesis', 'Protecting Group', 'Reagent']","['Building Block', 'Anti-inflammatory Agents', 'Antibacterials']","2,3 DI-CHLORO ANILINE",N/A,Liquid,,N/A,(MANUAL_INPUT),[],"PIM000133875-Specification of 2,3-Dichloroaniline (2,3-DCA).pdf",AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
22,Afghanistan (AF),PHI,API,"Inner Mongolia Tianyi Sci. & Tech. Co., Ltd.",(MANUAL_INPUT),"['Amino Acid', 'Animal Health', 'Animal Nutrition', 'Biochemical & Reagent', 'Cell Culture Supplement', 'Mineral & Nutrient', 'Oral', 'Powder', 'Reagent', 'Solutions', 'Synthesis', 'Tablets']","['Adjuvant', 'Therapeutic Nutrients/Minerals/Electrolytes']",Cargluacid® N-carbamylglutamate,1188-38-1,Powder,,N/A,(MANUAL_INPUT),[],PIM000133921-MSDS-NCG-Tianyi.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
23,Afghanistan (AF),PHI,Animal Care,"Inner Mongolia Tianyi Sci. & Tech. Co., Ltd.",(MANUAL_INPUT),"['Animal Health', 'Animal Nutrition', 'Mineral & Nutrient']","['Feed Additive', 'Growth Factors', 'Gut Health', 'General Health', 'Therapeutic Nutrients/Minerals/Electrolytes']",N-carbamylglutamate NCG,N/A,Powder,,"Dosage varies by animal type: Pig: 500~1000 g/ton feed, Dairy cow: 20 g per cow/day, Beef cattle/mutton sheep: 500~800 g/ton TMR (Dry matter), Freshwater fish: 200~250 g/ton feed, Marine fish: 300~350 g/ton feed, Special aquatic animals (including shrimp and crab): 300~500 g/ton feed.",(MANUAL_INPUT),[],PIM000133921-Technical data sheet of NCG.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Free from Nitrosamine Impurities', 'Free from Solvents Class 1']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
24,Afghanistan (AF),PHI,Intermediates & Reagents,"Lianhe Aigen Pharma Co., Ltd.",(MANUAL_INPUT),"['Protecting Group', 'Synthesis']","['Protecting Group', 'Building Block']",2-(Trimethylsilyl)Ethyl1H-Imidazole-1-Carboxylate,81616-20-8,Powder,,N/A,(MANUAL_INPUT),[],PIM000143086-2-(Trimethylsilyl)Ethyl1H-Imidazole-2-Carboxylate【】(GHSEN).pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
25,Afghanistan (AF),PHI,API,"CHONGQING DAXIN PHARMACEUTICAL CO., LTD.",(MANUAL_INPUT),"['Injectables and Parenterals', 'Reagent', 'Synthesis', 'Recombinant Proteins and Cytokines']","['Anti-aging / Oxidant / Cancer / Inflammatory', 'Antineoplastics']",Ansamitocin P-3,N/A,Powder,,N/A,(MANUAL_INPUT),[],PIM000143950-SZBR-72190601-COA GMP.pdf,AAAA,['Free from Solvents Class 1'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
26,Afghanistan (AF),PHI,API,"BrightGene Bio-medical Technology Co., Ltd.",(MANUAL_INPUT),"['Injectables and Parenterals', 'Reagent', 'Synthesis', 'Recombinant Proteins and Cytokines']","['Anti-aging / Oxidant / Cancer / Inflammatory', 'Antineoplastics', 'Immunological Agents']",Ansamitocin P-3,66584-72-3,Powder,,N/A,(MANUAL_INPUT),[],PIM000143950-TDS-AP-3-Bright-Gene.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Free from Solvents Class 1']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
27,Afghanistan (AF),PHI,Excipients,BIOGRUND GmbH,(MANUAL_INPUT),"['Capsules', 'Granules', 'Pellets', 'Tablet Coating', 'Tablets']","['Tablet Coating', 'Coloring', 'Taste Improvement, Taste Masking', 'Binder', 'Plasticizer']",AquaPolish® F blue 064.165 MS,N/A,Solid,,N/A,(MANUAL_INPUT),[],PIM000148744-110162_MSDS.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Free from Nitrosamine Impurities', 'Free from Solvents Class 1']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
28,Afghanistan (AF),PHI,Intermediates & Reagents,"Cangzhou Pure Science Co., Ltd.",(MANUAL_INPUT),"['Biochemical & Reagent', 'Reagent', 'Synthesis']","['Anti-inflammatory Agents', 'Antineoplastics']",5-Bromo-3-hydroxy-2-benzofuran-1(3H)-one,102126-71-6,Liquid,,N/A,(MANUAL_INPUT),[],PIM000150265-MSDS-5-溴-3-羟基苯酞.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
